,facility_name,facility_address,rating
280,DELI IN,3456 1/2 WILSHIRE BLVD,
281,DELICIOUS PIZZA SUNSET BLVD.,6601 SUNSET BLVD,4.0
282,PIZZA ITALIA,311 W 7TH ST,4.0
283,GENTARO SOBA,735 S FIGUEROA ST #127,3.5
284,JACK IN THE BOX #3393,4290 E OLYMPIC BLVD,
285,PIZZA NEXT DOOR,806 W 8TH ST # B,4.0
286,FRATERNAL ORDER OF EAGLES,13018 W WASHINGTON BLVD,
287,GELSON'S MARKET,5877 FRANKLIN AVE,
288,MEDUSA LOUNGE,3211 BEVERLY BLVD,3.5
289,TAMARIND OF L.A.,934 S LOS ANGELES ST # 9,
290,STELLA BARRA PIZZERIA,6372 N SUNSET BLVD,
291,DOLCINI CAFFE ESPRESSO,865 S FIGUEROA ST,4.5
292,GREEN APPLE MARKET,300 E 5TH ST,
293,SUBWAY,1205 W 3RD ST,
294,YOOGANE DUMPLING,698 S IROLO ST STE #111,
295,B TWENTY FOUR,2223 N BROADWAY,
296,LATINA,3125 W 8TH ST,
297,SPRING ST. BAR,626 S SPRING ST STE B,
298,ARADO JAPANESE RESTAURANT,4001 WILSHIRE BLVD STE A,3.5
299,COFFEE HOUSE 1,320 W 4TH ST,
300,DOOMIE'S HOME COOKIN',1253 N VINE ST STE #9,
301,LATIN FUSION,6801 HOLLYWOOD BLVD # 419,4.5
302,DANTE'S CAFE,2745 BEVERLY BLVD,
303,LUCKY STRIKE HOLLYWOOD,6801 HOLLYWOOD BLVD STE #143,
304,THAI COCONUT RESTAUARNT,1801 COLORADO BLVD,3.5
305,THE HEIGHTS DELI AND BOTTLE SHOP,2927 N BROADWAY,
306,LE CAFE BONJOUR,640 S HILL ST # S4,4.5
307,EL DORADO EXPRESS,5144 E BEVERLY BLVD,4.5
308,WIENERSCHNITZEL #114,3619 W OLYMPIC BLVD,
309,COMMERSON,736 S LA BREA AVE,
310,HASHTAG COFFEE & TEA,227 W 8TH ST,4.5
311,CAMPOS TACOS,13322 W WASHINGTON BLVD,
312,THE DOLLY LLAMA,611 SPRING ST,
313,A CAFE,4001 WILSHIRE BLVD STE B,
314,XIOMARA ON MELROSE,6101 MELROSE AVE,
315,SOL-LIP TOFU,414 S WESTERN AVE STE S,
316,STAR KARAOKE,601 S ARDMORE AVE # 200,4.0
317,VANESSA'S BAKERY,2747 BEVERLY BLVD,
318,TOMS JUNIOR BURGERS,245 E EL SEGUNDO BLVD,
319,LA CARRETA,4538 1/2 E CESAR E CHAVEZ AVE,
320,TACOS CHAPALITA,2929 1/2 N BROADWAY,
321,RALPHS MARKET #39,260 S LA BREA AVE,
322,SACRED HEART CAFETERIA,2111 GRIFFIN AVE,
323,LUCKY BAKERY,136 W 7TH ST,
324,WORLD WIDE TACOS,2419 W MLK BLVD,
325,BILLY CAFE,607 S HILL ST ARCA 5,5.0
328,MINI SNACK,245 E 5TH ST # 9,
329,THE OINKSTER,2005 COLORADO BLVD,4.0
